right wheel velocity, time
0, 4046
0, 4068
0, 4090
0, 4112
0, 4132
0, 4154
0, 4174
0, 4198
0, 4221
0, 4242
0, 4263
0, 4285
0, 4306
0, 4328
0, 4349
0, 4371
0, 4394
0, 4413
0, 4433
0, 4454
0, 4474
0, 4496
0, 4517
0, 4536
0, 4559
0, 4581
0, 4603
0, 4625
0, 4645
0, 4666
0, 4690
0, 4712
0, 4732
0, 4755
0, 4776
0, 4802
0, 4822
0, 4846
0, 4866
0, 4886
0, 4911
0, 4929
3, 4949
3, 4985
20, 5020
43, 5042
52, 5066
69, 5088
54, 5113
46, 5134
39, 5156
39, 5178
45, 5200
41, 5220
37, 5241
45, 5266
97, 5288
142, 5313
174, 5334
223, 5359
288, 5378
363, 5402
441, 5424
505, 5448
565, 5472
599, 5493
637, 5514
670, 5534
696, 5554
703, 5574
714, 5594
715, 5618
720, 5639
724, 5658
724, 5683
726, 5706
725, 5731
730, 5754
728, 5779
729, 5801
726, 5822
720, 5844
722, 5865
725, 5890
722, 5908
726, 5930
724, 5952
721, 5972
722, 5996
721, 6016
722, 6038
724, 6064
725, 6086
727, 6108
740, 6131
747, 6156
760, 6179
760, 6201
765, 6222
782, 6250
787, 6269
796, 6289
801, 6311
805, 6332
807, 6353
813, 6375
812, 6398
794, 6419
787, 6442
0, 16880
0, 16901
0, 16922
-3, 16942
-6, 16965
-6, 16987
-18, 17008
-29, 17029
-47, 17050
-56, 17072
-42, 17095
-14, 17119
13, 17141
31, 17163
167, 17182
268, 17205
367, 17224
380, 17244
370, 17265
389, 17288
430, 17313
439, 17333
448, 17354
451, 17376
448, 17396
465, 17418
477, 17440
493, 17462
513, 17488
536, 17508
557, 17530
579, 17552
592, 17570
608, 17591
603, 17614
592, 17635
573, 17658
572, 17676
573, 17702
572, 17722
572, 17749
568, 17770
557, 17791
570, 17813
570, 17836
564, 17860
534, 17882
519, 17903
509, 17923
500, 17943
473, 17967
438, 17988
391, 18010
359, 18031
344, 18051
312, 18078
278, 18099
253, 18122
231, 18143
212, 18164
179, 18188
153, 18209
130, 18230
112, 18253
79, 18274
71, 18298
50, 18319
14, 18341
14, 18363
-24, 18384
-67, 18405
-91, 18426
-168, 18450
-205, 18471
-326, 18504
-322, 18528
-291, 18550
-244, 18571
-260, 18591
-259, 18614
-249, 18634
-229, 18657
-208, 18680
-208, 18702
-210, 18722
-218, 18742
-224, 18763
-230, 18787
-240, 18810
-258, 18829
-282, 18852
-294, 18872
-301, 18898
-305, 18921
-314, 18940
-337, 18961
-359, 18984
-362, 19007
-373, 19029
-380, 19050
-394, 19071
-404, 19091
-391, 19114
-369, 19134
-347, 19160
-329, 19181
-328, 19202
-325, 19223
-312, 19245
-292, 19266
-282, 19292
-274, 19326
-270, 19347
-283, 19369
-287, 19390
-282, 19414
-270, 19432
-248, 19457
-220, 19480
-198, 19501
-181, 19524
-167, 19547
-149, 19573
-133, 19598
-118, 19618
-93, 19636
-79, 19657
-71, 19678
-67, 19706
-50, 19727
-39, 19748
-31, 19772
-31, 19792
-16, 19812
-16, 19834
-7, 19856
0, 19878
16, 19900
84, 19923
109, 19943
184, 19966
270, 19988
280, 20012
259, 20031
249, 20053
224, 20076
251, 20103
247, 20124
230, 20142
199, 20162
178, 20183
168, 20206
161, 20229
152, 20247
152, 20269
165, 20291
190, 20312
199, 20336
215, 20358
231, 20381
263, 20404
272, 20426
290, 20448
300, 20468
300, 20490
279, 20516
273, 20540
278, 20560
283, 20582
277, 20602
257, 20624
242, 20647
229, 20669
213, 20691
187, 20713
176, 20737
169, 20764
164, 20787
151, 20808
142, 20828
131, 20848
121, 20868
91, 20896
71, 20920
69, 20938
61, 20958
54, 20980
46, 21001
38, 21022
38, 21048
18, 21067
18, 21089
8, 21111
8, 21132
0, 21156
-31, 21177
-64, 21199
-88, 21220
-152, 21242
-193, 21262
-250, 21291
-217, 21308
-178, 21332
-177, 21354
-204, 21378
-218, 21396
-213, 21418
-184, 21438
-163, 21461
-157, 21483
-146, 21504
-141, 21528
-137, 21547
-138, 21567
-146, 21591
-146, 21611
-138, 21639
-137, 21660
-139, 21680
-153, 21714
-148, 21738
-145, 21752
-142, 21772
-139, 21792
-132, 21812
-122, 21836
-97, 21858
-96, 21880
-95, 21904
-105, 21927
-110, 21949
-97, 21972
-87, 21993
-85, 22014
-83, 22038
-78, 22058
-65, 22080
-59, 22104
-54, 22124
-45, 22150
-39, 22170
-39, 22191
-39, 22214
-26, 22238
-26, 22262
-13, 22281
-13, 22304
-6, 22326
-6, 22349
0, 22371
0, 22392
21, 22414
98, 22436
136, 22458
189, 22478
260, 22503
263, 22524
230, 22547
197, 22567
178, 22591
198, 22614
182, 22637
160, 22659
129, 22679
109, 22700
102, 22720
101, 22741
98, 22762
90, 22783
88, 22808
94, 22830
111, 22850
122, 22872
125, 22894
129, 22917
135, 22939
139, 22960
154, 22981
161, 23004
158, 23024
141, 23047
130, 23069
122, 23089
117, 23111
108, 23131
88, 23152
84, 23172
75, 23194
70, 23214
66, 23237
64, 23259
58, 23281
58, 23305
58, 23324
52, 23346
50, 23368
49, 23389
42, 23409
42, 23431
34, 23453
31, 23477
31, 23499
23, 23519
23, 23541
23, 23563
12, 23582
4, 23603
4, 23624
0, 23647
0, 23670
-3, 23690
-3, 23727
