left wheel velocity, time
0, 4046
0, 4068
0, 4090
0, 4112
0, 4132
0, 4154
0, 4174
0, 4198
0, 4221
0, 4242
0, 4263
0, 4285
0, 4306
0, 4328
0, 4349
0, 4371
0, 4394
0, 4413
0, 4433
0, 4454
0, 4474
0, 4496
0, 4517
0, 4536
0, 4559
0, 4581
0, 4603
0, 4625
0, 4645
0, 4666
0, 4690
0, 4712
0, 4732
0, 4755
0, 4776
0, 4802
0, 4822
0, 4846
0, 4866
0, 4886
0, 4911
0, 4929
0, 4949
52, 4985
84, 5020
93, 5042
116, 5066
125, 5088
113, 5113
73, 5134
59, 5156
66, 5178
63, 5200
58, 5220
53, 5241
88, 5266
110, 5288
195, 5313
240, 5334
302, 5359
371, 5378
426, 5402
500, 5424
573, 5448
644, 5472
690, 5493
731, 5514
762, 5534
784, 5554
797, 5574
814, 5594
822, 5618
827, 5639
837, 5658
843, 5683
843, 5706
842, 5731
841, 5754
839, 5779
844, 5801
840, 5822
839, 5844
837, 5865
836, 5890
834, 5908
833, 5930
832, 5952
834, 5972
832, 5996
822, 6016
820, 6038
819, 6064
824, 6086
823, 6108
832, 6131
850, 6156
860, 6179
872, 6201
832, 6222
824, 6250
821, 6269
824, 6289
831, 6311
836, 6332
841, 6353
845, 6375
839, 6398
840, 6419
842, 6442
0, 16880
0, 16901
0, 16922
-3, 16942
-3, 16965
-5, 16987
-9, 17008
-22, 17029
-51, 17050
-59, 17072
-41, 17095
-16, 17119
42, 17141
83, 17163
196, 17182
293, 17205
412, 17224
411, 17244
360, 17265
399, 17288
461, 17313
478, 17333
500, 17354
493, 17376
497, 17396
504, 17418
526, 17440
536, 17462
564, 17488
580, 17508
603, 17530
627, 17552
637, 17570
651, 17591
627, 17614
617, 17635
589, 17658
599, 17676
600, 17702
614, 17722
624, 17749
613, 17770
629, 17791
636, 17813
642, 17836
615, 17860
571, 17882
549, 17903
548, 17923
530, 17943
511, 17967
455, 17988
407, 18010
371, 18031
350, 18051
324, 18078
284, 18099
250, 18122
231, 18143
209, 18164
174, 18188
150, 18209
126, 18230
96, 18253
82, 18274
52, 18298
52, 18319
12, 18341
0, 18363
-21, 18384
-71, 18405
-107, 18426
-198, 18450
-252, 18471
-385, 18504
-346, 18528
-308, 18550
-257, 18571
-289, 18591
-291, 18614
-284, 18634
-255, 18657
-225, 18680
-236, 18702
-249, 18722
-263, 18742
-262, 18763
-269, 18787
-287, 18810
-308, 18829
-333, 18852
-346, 18872
-357, 18898
-357, 18921
-376, 18940
-404, 18961
-426, 18984
-428, 19007
-436, 19029
-444, 19050
-466, 19071
-469, 19091
-455, 19114
-416, 19134
-372, 19160
-362, 19181
-364, 19202
-355, 19223
-343, 19245
-319, 19266
-296, 19292
-290, 19326
-295, 19347
-304, 19369
-305, 19390
-299, 19414
-277, 19432
-243, 19457
-195, 19480
-177, 19501
-166, 19524
-155, 19547
-132, 19573
-117, 19598
-92, 19618
-72, 19636
-63, 19657
-61, 19678
-49, 19706
-40, 19727
-40, 19748
-16, 19772
-16, 19792
-16, 19812
-8, 19834
-8, 19856
14, 19878
49, 19900
79, 19923
157, 19943
208, 19966
294, 19988
366, 20012
321, 20031
286, 20053
247, 20076
273, 20103
254, 20124
230, 20142
199, 20162
168, 20183
164, 20206
157, 20229
150, 20247
152, 20269
166, 20291
194, 20312
215, 20336
242, 20358
253, 20381
287, 20404
300, 20426
328, 20448
327, 20468
326, 20490
313, 20516
296, 20540
305, 20560
310, 20582
308, 20602
277, 20624
259, 20647
246, 20669
232, 20691
198, 20713
188, 20737
168, 20764
164, 20787
153, 20808
149, 20828
139, 20848
126, 20868
109, 20896
78, 20920
73, 20938
72, 20958
61, 20980
57, 21001
44, 21022
28, 21048
12, 21067
12, 21089
12, 21111
4, 21132
-4, 21156
-13, 21177
-74, 21199
-110, 21220
-189, 21242
-229, 21262
-298, 21291
-244, 21308
-206, 21332
-201, 21354
-241, 21378
-264, 21396
-250, 21418
-219, 21438
-183, 21461
-177, 21483
-167, 21504
-163, 21528
-161, 21547
-169, 21567
-170, 21591
-167, 21611
-163, 21639
-166, 21660
-175, 21680
-188, 21714
-180, 21738
-171, 21752
-171, 21772
-168, 21792
-161, 21812
-148, 21836
-125, 21858
-115, 21880
-117, 21904
-130, 21927
-144, 21949
-133, 21972
-119, 21993
-108, 22014
-100, 22038
-90, 22058
-80, 22080
-66, 22104
-60, 22124
-47, 22150
-43, 22170
-43, 22191
-33, 22214
-33, 22238
-15, 22262
-15, 22281
-7, 22304
-7, 22326
-3, 22349
3, 22371
7, 22392
42, 22414
97, 22436
166, 22458
211, 22478
296, 22503
288, 22524
255, 22547
219, 22567
190, 22591
212, 22614
194, 22637
170, 22659
139, 22679
132, 22700
137, 22720
134, 22741
127, 22762
119, 22783
106, 22808
118, 22830
130, 22850
138, 22872
147, 22894
152, 22917
158, 22939
165, 22960
172, 22981
181, 23004
179, 23024
158, 23047
148, 23069
141, 23089
138, 23111
119, 23131
99, 23152
89, 23172
88, 23194
82, 23214
78, 23237
70, 23259
67, 23281
69, 23305
68, 23324
65, 23346
61, 23368
57, 23389
52, 23409
46, 23431
43, 23453
39, 23477
36, 23499
30, 23519
27, 23541
26, 23563
26, 23582
26, 23603
6, 23624
6, 23647
0, 23670
0, 23690
-3, 23727
