time, raw gyro
19, 0
25, 0
30, 0
34, 0
35, 0
37, 0
40, 0
43, 0
44, 0
47, 0
52, 0
60, 0
64, 0
66, 0
70, 0
73, 0
74, 0
79, 0
80, 0
84, 0
86, 0
88, 0
91, 0
94, 0
96, 0
101, 0
104, 0
106, 0
109, 0
113, 0
115, 0
116, 0
125, 0
131, 0
134, 0
136, 0
138, 0
144, 0
149, 0
154, 0
156, 0
159, 0
161, 0
164, 0
166, 0
168, 0
173, 0
176, 0
181, 0
184, 0
189, 0
191, 0
194, 0
196, 0
201, 0
204, 0
206, 0
209, 0
212, 0
214, 0
220, 0
223, 0
225, 0
226, 0
229, 0
230, 0
234, 0
239, 0
241, 0
246, 0
249, 0
255, 0
256, 0
264, 0
266, 0
268, 0
273, 0
276, 0
278, 0
280, 0
284, 0
286, 0
288, 0
289, 0
292, 0
296, 0
297, 0
301, 0
305, 0
309, 0
311, 0
314, 0
320, 0
323, 0
324, 0
326, 0
329, 0
331, 0
334, 0
335, 0
339, 0
340, 0
347, 0
348, 0
354, 0
356, 0
358, 0
360, 0
363, 0
364, 0
366, 0
369, 0
371, 0
375, 0
376, 0
380, 0
382, 0
384, 0
388, 0
389, 0
393, 0
397, 0
399, 0
403, 0
405, 0
406, 0
408, 0
410, 0
414, 0
417, 0
420, 0
422, 0
424, 0
426, 0
429, 0
431, 0
434, 0
436, 0
437, 0
438, 0
443, 0
445, 0
446, 0
458, 0
467, 0
474, 0
476, 0
480, 0
484, 0
488, 0
496, 0
502, 0
509, 0
513, 0
516, 0
518, 0
528, 0
534, 0
538, 0
540, 0
544, 0
548, 0
553, 0
556, 0
560, 0
564, 0
566, 0
570, 0
574, 0
576, 0
581, 0
584, 0
587, 0
589, 0
590, 0
593, 0
595, 0
596, 0
598, 0
605, 0
613, 0
616, 1
618, 1
624, 3
626, 3
628, 3
634, 4
635, 4
636, 4
638, 4
640, 4
644, 6
648, 6
650, 6
654, 6
657, 6
664, 9
666, 9
668, 10
673, 10
675, 11
677, 11
680, 11
684, 13
686, 14
688, 14
689, 14
694, 17
696, 19
707, 19
708, 19
713, 19
716, 17
719, 17
723, 16
727, 16
730, 14
734, 14
735, 14
737, 14
740, 13
743, 11
746, 10
749, 9
753, 7
755, 7
756, 7
759, 6
763, 6
766, 4
767, 4
769, 4
773, 3
775, 3
777, 1
780, 3
784, 0
789, 0
793, -2
795, -2
797, -5
799, -5
801, -6
805, -9
807, -9
809, -10
814, -15
818, -16
821, -16
824, -20
826, -23
830, -23
834, -26
836, -27
838, -26
839, -26
843, -30
845, -30
846, -30
850, -30
854, -32
855, -32
857, -32
861, -33
865, -34
867, -34
870, -34
873, -37
876, -37
877, -37
881, -37
885, -37
887, -37
888, -37
890, -37
893, -37
895, -37
897, -36
899, -36
900, -36
904, -34
908, -33
910, -33
914, -32
917, -32
920, -30
921, -30
924, -30
932, -29
936, -27
938, -25
944, -23
949, -22
952, -19
955, -17
956, -17
959, -15
963, -12
966, -10
970, -9
973, -6
978, -5
980, -3
984, -2
988, 0
990, 0
993, 0
995, 0
997, 1
999, 1
1001, 3
1004, 3
1005, 3
1009, 3
1010, 4
1016, 6
1018, 6
1024, 6
1025, 6
1026, 6
1029, 6
1033, 6
1035, 4
1037, 4
1038, 4
1041, 3
1044, 1
1048, 1
1051, 0
1054, 0
1056, 0
1059, 0
1064, -3
1067, -5
1068, -5
1070, -5
1074, -6
1077, -7
1079, -7
1083, -9
1086, -10
1089, -10
1093, -12
1094, -12
1096, -12
1098, -12
1099, -12
1102, -13
1105, -15
1107, -13
1109, -13
1111, -13
1119, -13
1120, -13
1123, -13
1125, -13
1127, -12
1131, -12
1134, -12
1136, -10
1139, -9
1140, -9
1144, -9
1146, -7
1149, -6
1150, -6
1156, -3
1160, 0
1163, 0
1166, 0
1169, 0
1173, 1
1175, 3
1177, 4
1180, 4
1184, 4
1188, 4
1190, 6
1193, 6
1194, 6
1196, 6
1198, 7
1200, 7
1202, 7
1205, 6
1208, 4
1213, 6
1214, 6
1216, 6
1220, 4
1224, 3
1227, 0
1229, 0
1232, -2
1234, -2
1236, -3
1240, -5
1241, -5
1245, -3
1247, -5
1251, -5
1266, -5
1267, -3
1270, -3
1274, -2
1277, -3
1281, -2
1287, -2
1289, -2
1293, 0
1296, -2
1297, 0
1300, -2
1304, 0
1306, 1
1307, 1
1310, 1
1314, 1
